Entity,Code,Year,Number of patents in solar photovoltaic technology,Number of patents in solar thermal technology,Number of patents in solar photovoltaic and thermal hybrid technology,Number of patents in wind energy,Number of patents in hydropower,Number of patents in marine and tidal energy,Number of patents in bioenergy,Number of patents in geothermal energy
United Kingdom,GBR,2020,50,25,7,83,13,19,23,3
United Kingdom,GBR,2021,3,2,1,7,2,3,6,
United States,USA,2000,436,145,66,132,37,24,161,10
United States,USA,2001,620,197,94,188,41,37,280,8
United States,USA,2002,555,203,74,248,54,37,288,21
United States,USA,2003,653,282,122,321,67,53,290,25
United States,USA,2004,961,286,115,451,104,65,425,19
United States,USA,2005,1164,347,136,581,111,108,500,29
United States,USA,2006,1418,437,165,588,110,114,654,67
United States,USA,2007,1804,617,227,914,156,173,891,68
United States,USA,2008,2553,821,232,1301,204,200,1230,79
United States,USA,2009,3729,1176,298,1752,255,267,1289,113
United States,USA,2010,4714,1492,428,2089,273,265,1499,101
United States,USA,2011,5141,1467,390,2072,264,246,1680,121
United States,USA,2012,4887,1275,338,1968,266,225,1712,111
United States,USA,2013,4515,1246,395,1774,260,193,1740,105
United States,USA,2014,4519,1063,365,1633,227,210,1602,95
United States,USA,2015,4439,947,368,1521,215,180,1401,63
United States,USA,2016,4436,832,380,1458,208,183,1308,73
United States,USA,2017,4480,697,352,1678,198,180,1062,55
United States,USA,2018,4234,607,336,1616,171,149,923,84
United States,USA,2019,3757,476,287,1171,138,125,756,69
United States,USA,2020,2541,342,191,677,97,80,491,43
United States,USA,2021,899,190,97,272,37,34,264,20
Upper-middle-income countries,,2000,141,564,57,232,145,36,289,17
Upper-middle-income countries,,2001,192,646,77,337,161,40,274,29
Upper-middle-income countries,,2002,283,897,98,490,194,38,327,40
Upper-middle-income countries,,2003,315,781,142,514,247,34,437,56
Upper-middle-income countries,,2004,485,985,121,649,263,135,555,35
Upper-middle-income countries,,2005,677,1114,205,940,308,142,743,54
Upper-middle-income countries,,2006,1112,1835,313,1196,378,197,1429,92
Upper-middle-income countries,,2007,1875,2143,409,1756,511,265,2017,111
Upper-middle-income countries,,2008,2670,3031,556,2360,639,322,2503,119
Upper-middle-income countries,,2009,4491,4044,835,3709,908,416,2782,231
Upper-middle-income countries,,2010,6881,5064,1178,4126,926,493,3282,197
Upper-middle-income countries,,2011,8140,5312,1228,4791,1261,565,3857,256
Upper-middle-income countries,,2012,8924,5968,1320,4890,1215,606,3999,286
Upper-middle-income countries,,2013,8473,5521,1297,4007,1172,624,3643,275
Upper-middle-income countries,,2014,10488,4665,1663,4119,1337,714,4041,295
Upper-middle-income countries,,2015,13326,5416,2128,4816,1653,675,4793,379
Upper-middle-income countries,,2016,17632,6212,2786,6361,1726,842,5689,619
Upper-middle-income countries,,2017,22331,6450,2227,8538,2035,860,5065,795
Upper-middle-income countries,,2018,25127,6447,1266,9094,1982,892,4158,692
Upper-middle-income countries,,2019,21446,7750,1246,8815,2600,883,3903,959
Upper-middle-income countries,,2020,26015,9878,1273,10856,4496,1061,3247,1018
Upper-middle-income countries,,2021,7537,2231,351,3855,894,383,938,195
Uruguay,URY,2012,2,3,4,3,,,13,
Uruguay,URY,2013,2,,,1,,1,3,
Uruguay,URY,2014,1,,,,,,7,
Uruguay,URY,2015,1,,,25,,,13,
Uruguay,URY,2018,1,,,2,,,2,
Uruguay,URY,2019,3,3,,,1,,11,
Uruguay,URY,2020,2,,,,3,1,3,
Uruguay,URY,2002,,2,,,,,,
Uruguay,URY,2003,,1,,,,,,
Uruguay,URY,2005,,3,,2,2,1,,
Uruguay,URY,2011,,5,,3,,,14,
Uruguay,URY,2017,,1,,1,,,5,
Uruguay,URY,2007,,,1,,1,2,7,
Uruguay,URY,2009,,,1,6,,,2,
Uruguay,URY,2004,,,,3,,,,
Uruguay,URY,2010,,,,3,1,1,9,
Uruguay,URY,2016,,,,21,,1,2,
Uruguay,URY,2006,,,,,1,1,4,
Uruguay,URY,2008,,,,,2,2,9,
Uruguay,URY,2000,,,,,,,1,
Vietnam,VNM,2010,,,,,,,2,
World,OWID_WRL,2000,3261,1954,552,1788,691,288,2287,128
World,OWID_WRL,2001,3373,2030,596,2280,616,299,2393,175
World,OWID_WRL,2002,3281,2309,547,2923,737,312,2601,223
World,OWID_WRL,2003,3646,2225,725,3064,833,346,2720,225
World,OWID_WRL,2004,4394,2599,622,3188,924,545,2909,233
World,OWID_WRL,2005,5200,2876,795,3708,1040,647,3362,281
World,OWID_WRL,2006,6428,4068,1008,4146,1144,810,4691,379
World,OWID_WRL,2007,9029,5036,1291,5792,1465,1072,6212,513
World,OWID_WRL,2008,13097,7160,1621,7878,2009,1405,7302,561
World,OWID_WRL,2009,19532,9485,2101,10842,2477,1775,8132,818
World,OWID_WRL,2010,24956,11172,2615,12068,2477,1813,8863,699
World,OWID_WRL,2011,27579,11021,2631,13045,2898,1817,9588,775
World,OWID_WRL,2012,27117,10805,2625,12919,2892,1795,9676,800
World,OWID_WRL,2013,24188,9563,2515,10831,2645,1698,9050,761
World,OWID_WRL,2014,24905,8084,2904,10630,2679,1762,9240,728
World,OWID_WRL,2015,26489,8228,3219,10176,2765,1566,9348,712
World,OWID_WRL,2016,30704,8633,3868,11648,2781,1612,9724,1048
World,OWID_WRL,2017,34546,8389,3106,14003,3011,1608,8605,1131
World,OWID_WRL,2018,36871,8224,2088,13912,2816,1445,7373,1058
World,OWID_WRL,2019,31763,9185,1903,12273,3330,1322,6616,1296
World,OWID_WRL,2020,31563,10734,1671,12600,4908,1313,4740,1175
World,OWID_WRL,2021,9284,2583,526,4454,993,474,1455,241
